Age,Financial Status,Has a Laptop,Type of Internet Connection,CC100,CC101,CC102,CS111/IT112,English Prof,Reading Compre,Science Process,Quantitative,Abstract,CET OAPR,SHS/HS GPA,ABM/BAM,GAS,HUMSS,STEM,Sports Track,TVL-HE,TVL-ICT,Female,Male,Prefer not to say,label
22,1,2,1,1.25,2.0,2.75,2.25,91.83,82.26,91.97,24.91,91.68,89.65,89.5,0,0,0,0,0,0,1,0,1,0,1
21,0,0,1,1.5,1.5,1.75,2.0,92.71,96.76,93.41,94.54,99.28,97.27,89.5,0,0,0,0,0,0,1,0,1,0,1
25,1,2,2,2.25,2.25,1.5,3.0,76.83,77.12,72.66,70.61,72.9,76.98,89.5,0,0,0,1,0,0,0,0,1,0,1
20,0,2,2,1.5,2.0,3.0,3.0,84.91,48.4,97.72,70.61,43.49,83.5,89.5,0,0,0,0,0,0,1,0,1,0,1
23,1,0,1,1.5,1.75,2.0,3.0,58.56,77.12,51.68,79.96,91.68,74.25,93.0,0,1,0,0,0,0,0,0,1,0,1
23,0,2,2,1.5,1.75,2.75,1.5,94.11,87.4,51.68,53.82,91.68,89.17,87.0,0,0,0,0,0,0,1,1,0,0,1
23,2,1,1,1.5,2.25,2.0,2.0,70.75,35.7,85.06,79.96,72.9,74.25,89.5,0,0,0,1,0,0,0,0,1,0,1
24,2,2,2,1.75,1.75,2.0,2.0,66.01,90.94,89.19,98.63,79.78,89.65,95.5,0,0,0,1,0,0,0,0,1,0,1
22,0,2,2,2.5,3.0,2.0,2.75,84.91,61.11,80.93,79.96,72.9,83.5,89.5,0,0,0,0,0,0,1,0,1,0,1
22,0,2,1,1.25,1.25,1.25,2.25,84.91,71.99,66.81,92.22,98.34,89.17,90.59,0,0,0,0,0,0,1,0,1,0,1
22,2,1,1,1.75,2.25,1.75,1.5,74.8,25.06,59.25,44.18,43.49,60.09,87.24,0,0,0,1,0,0,0,0,1,0,1
22,1,0,1,1.5,2.0,2.0,2.0,78.85,71.99,89.19,75.28,15.15,76.98,89.5,0,0,0,0,0,0,1,0,1,0,1
23,1,1,1,2.0,1.75,2.5,2.75,88.66,61.11,76.79,18.16,79.78,79.72,88.94,0,0,0,0,0,0,1,0,0,1,1
23,1,2,2,2.5,2.25,3.0,3.0,66.01,54.75,51.68,44.18,91.68,68.07,82.69,0,0,0,1,0,0,0,0,1,0,1
0,1,0,1,1.5,2.0,2.0,5.0,76.83,77.12,72.66,70.61,72.9,76.98,89.5,0,0,0,0,0,0,1,0,1,0,0
23,2,2,2,1.75,2.5,1.75,2.0,92.02,71.99,66.81,75.28,83.75,92.12,86.58,0,0,0,1,0,0,0,1,0,0,1
23,1,0,2,2.0,2.5,2.75,2.0,72.78,90.94,93.41,53.82,83.75,84.19,89.5,0,0,0,0,0,0,1,1,0,0,1
22,0,0,0,1.25,1.25,2.25,1.25,90.77,82.26,13.15,94.54,72.9,85.57,87.83,1,0,0,0,0,0,0,1,0,0,1
22,3,0,1,2.0,2.0,2.0,2.0,90.77,90.94,66.81,44.18,97.87,89.17,90.0,0,0,0,0,0,0,1,0,1,0,1
21,1,2,2,1.0,2.0,3.0,3.0,70.75,82.26,85.06,18.16,87.72,76.98,89.5,0,1,0,0,0,0,0,0,1,0,1
21,2,2,1,1.75,2.5,2.0,2.0,55.84,48.4,59.25,63.45,72.9,61.37,91.5,0,0,0,0,0,0,1,1,0,0,1
22,1,2,2,2.0,1.25,3.0,1.25,93.41,98.7,85.06,98.29,91.68,97.09,93.0,0,0,0,1,0,0,0,0,1,0,1
21,3,0,0,1.0,1.75,1.5,2.5,93.41,98.7,97.72,94.54,97.87,97.64,89.5,0,0,0,0,0,0,1,0,1,0,1
22,4,2,2,2.5,2.5,2.25,1.75,61.05,71.99,51.68,34.54,43.49,60.09,88.5,0,0,0,0,0,0,1,0,1,0,1
21,2,2,2,2.0,1.5,3.0,1.75,94.81,90.94,93.41,79.96,87.72,94.79,92.5,0,1,0,0,0,0,0,1,0,0,1
21,0,2,1,2.75,1.75,1.75,2.0,76.83,77.12,59.25,34.54,15.15,65.83,89.5,0,0,0,0,0,0,1,0,1,0,1
23,2,2,2,1.75,1.75,1.5,1.5,58.56,92.88,72.66,53.82,79.78,74.25,90.5,0,0,0,0,0,0,1,0,1,0,1
22,1,2,2,1.0,2.0,1.5,1.5,83.47,77.12,51.68,18.16,43.49,71.42,91.93,1,0,0,0,0,0,0,0,1,0,1
22,3,0,1,2.5,1.5,3.0,1.5,47.0,90.94,72.66,97.62,95.65,83.5,91.0,0,0,0,0,0,0,1,0,1,0,1
22,2,2,1,1.75,2.25,1.75,2.0,61.05,25.06,59.25,70.61,72.9,60.09,88.5,0,0,0,1,0,0,0,0,1,0,1
23,1,0,1,1.75,2.25,1.75,2.5,78.85,77.12,76.79,18.16,63.1,74.25,89.5,0,0,0,1,0,0,0,0,1,0,1
0,3,2,1,1.0,1.75,1.5,1.75,55.84,87.4,80.93,70.61,53.29,72.43,90.0,0,0,0,0,0,0,1,1,0,0,1
21,2,2,2,1.25,1.25,1.25,1.25,34.94,66.85,76.79,53.82,83.75,61.37,87.2,0,0,0,0,0,0,1,1,0,0,1
21,3,0,1,1.0,1.75,1.5,1.25,72.78,82.26,59.25,53.82,72.9,74.25,93.5,1,0,0,0,0,0,0,1,0,0,1
23,0,1,0,2.25,2.5,2.25,2.0,72.78,66.85,29.96,34.54,33.69,60.09,82.1705,0,1,0,0,0,0,0,0,1,0,1
21,3,2,2,2.0,3.0,2.0,5.0,76.83,71.99,66.81,70.61,53.29,75.16,90.5,0,0,0,0,0,0,1,0,1,0,1
23,2,0,2,1.5,2.0,2.0,1.25,63.53,77.12,93.41,79.96,54.29,78.81,89.5,0,0,0,1,0,0,0,0,1,0,1
22,3,2,1,1.25,1.5,1.75,2.0,90.77,90.94,85.06,89.31,87.72,92.9,90.44,0,0,0,0,0,0,1,0,1,0,1
21,0,2,2,1.25,1.5,2.5,1.75,83.47,94.82,89.19,70.61,96.65,90.6,84.56,0,0,0,1,0,0,0,0,1,0,1
